ID,Name,Attribute,Race,Max Lvl,Exp Curve,Max Exp,Rarity,Cost,Series,Lvl 1 HP,Lvl 1 ATK,Lvl 1 REC,Lvl Max HP,Lvl Max ATK,Lvl Max REC,Active Skill 1,Active Skill 1 Description,Active Skill 2,Active Skill 2 Description,Leader Skill,Leader Skill Description
1,Molly,Water,Human,5,500K,833,2,1,Protagonists,86,47,15,129,71,24,Runestone Release - Water,Explode all Earth Runestones to deal a Water Damage to all enemies.,,,Power of the Ocean,Water Attack x 1.5
2,Hydromancer Molly,Water,Human,15,1000K,20409,3,2,Protagonists,216,118,36,364,200,68,Runestone Release - Water,Explode all Earth Runestones to deal a Water Damage to all enemies.,,,Power of the Ocean,Water Attack x 1.5
3,Aqua Sorceress Molly,Water,Human,35,1500K,180550,4,4,Protagonists,441,242,74,801,440,151,Runestone Release - Water,Explode all Earth Runestones to deal a Water Damage to all enemies.,,,Anger of the Ocean,Water Attack x 2
4,Aqua Elementalist Molly,Water,Human,99,3000K,3000000,5,9,Protagonists,846,465,141,1881,1035,364,Rune Excitation - Water,Explode all Earth Runestones to deal a Water Damage to all enemies and generate Enchanted Runestones,,,Anger of the Ocean,Water Attack x 2
5,Sean,Fire,Human,5,500K,833,2,1,Protagonists,91,51,13,136,76,21,Runestone Release - Fire,Explode all Water Runestones to deal a Fire Damage to all enemies,,,Power of the Flame,Fire Attack x 1.5
6,Swordsman Sean,Fire,Human,15,1000K,20409,3,2,Protagonists,228,127,32,384,214,60,Runestone Release - Fire,Explode all Water Runestones to deal a Fire Damage to all enemies,,,Power of the Flame,Fire Attack x 1.5
7,Blazing Swordsman Sean,Fire,Human,35,1500K,180550,4,4,Protagonists,464,259,66,842,470,135,Runestone Release - Fire,Explode all Water Runestones to deal a Fire Damage to all enemies,,,Anger of the Flame,Fire Attack x 2
8,Inferno Swordsman Sean,Fire,Human,99,3000K,3000000,5,9,Protagonists,891,498,126,1980,1107,324,Rune Excitation - Fire,Explode all Water Runestones to deal a Fire Damage to all enemies and generate Enchanted Runestones,,,Anger of the Flame,Fire Attack x 2
9,Duncan,Earth,Human,5,500K,833,2,1,Protagonists,100,44,14,149,66,23,Runestone Release - Earth,Explode all Fire Runestones to deal an Earth Damage to all enemies,,,Power of the Woods,Earth Attack x 1.5
10,Cleric Duncan,Earth,Human,15,1000K,20409,3,2,Protagonists,250,109,34,421,184,64,Runestone Release - Earth,Explode all Fire Runestones to deal an Earth Damage to all enemies,,,Power of the Woods,Earth Attack x 1.5
11,Druid Duncan,Earth,Human,35,1500K,180550,4,4,Protagonists,510,223,69,925,405,141,Runestone Release - Earth,Explode all Fire Runestones to deal an Earth Damage to all enemies,,,Anger of the Woods,Earth Attack x 2
12,Lord of Forest Duncan,Earth,Human,99,3000K,3000000,5,9,Protagonists,979,429,132,2176,953,340,Rune Excitation - Earth,Explode all Fire Runestones to deal a Earth Damage to all enemies and generate Enchanted Runestones,,,Anger of the Woods,Earth Attack x 2
13,Baron Nathaniel,Light,Human,5,500K,833,2,1,Protagonists,90,44,15,134,66,25,Runestone Release - Light,Explode all Dark Runestones to deal a Light Damage to all enemies,,,Power of the Light,Light Attack x 1.5
14,Viscount Nathaniel,Light,Human,15,1000K,20409,3,2,Protagonists,226,110,37,380,186,70,Runestone Release - Light,Explode all Dark Runestones to deal a Light Damage to all enemies,,,Power of the Light,Light Attack x 1.5
15,Earl Nathaniel,Light,Human,35,1500K,180550,4,4,Protagonists,460,226,76,834,410,156,Runestone Release - Light,Explode all Dark Runestones to deal a Light Damage to all enemies,,,Anger of the Light,Light Attack x 2
16,Marquess Nathaniel,Light,Human,99,3000K,3000000,5,9,Protagonists,882,433,145,1960,963,374,Rune Excitation - Light,Explode all Dark Runestones to deal a Light Damage to all enemies and generate Enchanted Runestones,,,Anger of the Light,Light Attack x 2
17,Solace Endor,Dark,Human,5,500K,833,2,1,Protagonists,84,52,14,126,78,23,Runestone Release - Dark,Explode all Light Runestones to deal a Dark Damage to all enemies,,,Power of the Darkness,Dark Attack x 1.5
